performer;title;lyrics
M;2 x 4;I’m gonna make you, shake you, take you I’m gonna be the one who breaks you Put the screws to you, yeah, my way Yeah, come on and come on, come and make my day Make my day  Got some hell to pay, I steal your thunder The joy of violent movement, pulls you under Bite the bullet, well hard Yeah, but I die harder, so go too far Too far  Friction, fusion, retribution I can’t hear you, talk to me I can’t hear you, so talk to me I can’t hear you, are you talking to me? I can’t hear you, are you talking to me? I can’t hear you, time to meet my lord I can’t hear you, talk to two by four  I’m gonna make you, shake you, take you I’m gonna be that one who breaks you Put the screws to you, my way Hey, come on and come on, come and make my day Make my day  Friction, fusion, retribution I can’t hear you, talk to me I can’t hear you, come talk to me I can’t hear you, are you talking to me? I can’t hear you, are you talking to me? I can’t hear you, time to meet my lord I can’t hear you, talk to two by four  Talk to two by four It don’t take no more  Friction, fusion, retribution I’m gonna make you talk to me I’m gonna trick you, so talk to me I can’t hear you, are you talking to me? I can’t hear you, you talking to me? I can’t hear you, time to meet my lord I can’t hear you, talk to two by four She don’t take no more
M;Master Of Puppets;End of passion play, crumbling away I’m your source of self-destruction Veins that pump with fear, sucking darkest clear Leading on your death’s construction Taste me you will see More is all you need You’re dedicated to How I’m killing you  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master  Needlework the way, never you betray Life of death becoming clearer Pain monopoly, ritual misery Chop your breakfast on a mirror Taste me you will see More is all you need You’re dedicated to How I’m killing you  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master  Master, master Where’s the dreams that I’ve been after? Master, master You promised only lies Laughter, laughter All I hear or see is laughter Laughter, laughter Laughing at my cries  Fix me  Hell is worth all that, natural habitat Just a rhyme without a reason Never-ending maze, drift on numbered days Now your life is out of season I will occupy I will help you die I will run through you Now I rule you too  Come crawling faster Obey your master Your life burns faster Obey your master Master  Master of puppets I’m pulling your strings Twisting your mind and smashing your dreams Blinded by me, you can’t see a thing Just call my name, ‘cause I’ll hear you scream Master Master Just call my name, ‘cause I’ll hear you scream Master Master 
N;Spank Thru;And as the soft pretentious mountains Glisten in the light of the trees And the flowers sing in D minor And the birds fly happily  We'll be together once again my love I need you back, oh baby baby  I can't explain just why we lost it from the start living without you girl you'll only break my heart ...  I can feel it, I can hold it I can bend it - I can shape it and/or mold it I can cut it, I can taste it - I can spank it, I can beat it ejacu-late it ... Aah! I've been lookin for day Glo - Always hearing the same ole' Sticky boredom with a book - I can make it do things you wouldn't think it ever could
M;Mistress Dread;I’m built like you are I have a dress and a train Your snake cold lips Make a harsh straight line That echoes through my brain  You’re perfect Let me lift a glass high Let me follow in your footsteps Let me follow in your sigh Let me follow in your sigh  I’m a woman who likes men But this is something else I’ve never felt such stirrings I feel like I Was someone else  I wish you’d tie me up and beat me Crush me like a kick A bleeding strap across my back Some blood that you could kiss  Oh kiss away, oh kiss away I wish there was a strap of blood That you could kiss away I wish there was a strap of blood That you could kiss away Tie me with a scarf and jewels Put a bloody gag to my teeth  I beg you to degrade me Is there waste that I could eat I am a secret lover I am your little girl Please spit into my mouth I’m forever in your swirl  You’re heartless and I love that You have no use of me  But I open the sticks, sticky legs I bear And then insert a fist, an arm Some lost appendage Please open me I beg  You are my goliath You are my goliath And I am mistress dread  Oh I am mistress dread Oh I am mistress dread  Open and release me I love you in my head  Oh kiss away kiss away Kiss away kiss away  All I ask my baby Kiss away  All I ask my baby Kiss away 
M;Prince Charming;There’s a black cloud overhead That’s me And the poison ivy chokes the tree Again it’s me I’m the filthy one on Bourbon Street you walk on by I’m the little boy that pushes hard and makes it cry  There’s a dirty needle in your child Stick me Empty bottles still in hand, still dead Still me I’m the suit and tie that bleeds the street and still wants more I’m the forty-five that’s in your mouth, I’m a dirty, dirty whore  Look, it’s me The one who can’t be free Much too young to focus But too old to see  Hey, look, it’s me What no one wants to see See what you brought this world Just what you want to see Hey, Ma Hey, Mom! Look, it’s me  And he wants to be called “Father” now Me again, me The marks inside your arms spell me Spell only me I’m the nothing face that plants the bomb and strolls away I’m the one who doesn’t look quite right as children play  Look, it’s me The one who can’t be free Much too young to focus But too old to see  Hey, look, it’s me What no one wants to see See what you brought this world Just what you want you want to see Hey, Ma Hey, Ma! Look, it’s me  Look up to me, What to be and what to fear Look up to me Look, it’s me. Like what you hear? See right through me See the one who can’t be free See right through me Look, it’s me, what no one wants to see  Now see the black cloud up ahead That’s me And this poison ivy chokes the tree Again it’s me And I’m the filthy one on Bourbon Street you walk on by I’m the little boy that pushes, pushes, makes it cry  Look, it’s me The one who can’t be free Much too young to focus But too old to see  Hey, look, it’s me What no one wants to see See what you brought this world Just what you want to see Hey, Ma Hey, Ma! Look, it’s me  Hey, Ma Hey, Ma! Look, it’s me 
M;Blackened;Blackened is the end Winter it will send Throwing all you see Into obscurity  Death of Mother Earth Never a rebirth Evolution’s end Never will it mend  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened  Blistering of earth Terminate its worth Deadly nicotine Kills what might have been  Callous frigid chill Nothing left to kill Never seen before Breathing nevermore  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Color our world blackened  Blackened  Opposition...contradiction...premonition...compromise Agitation...violation...mutilation...planet dies  Darkest color Blistered earth True death of life  Termination...expiration...cancellation...human race Expectation...liberation...population...lay to waste  See our mother Put to death See our mother die  Smoldering decay Take her breath away Millions of our years In minutes disappears  Darkening in vain Decadence remains All is said and done Never is the sun  Never  Fire To begin whipping dance of the dead Blackened is the end To begin whipping dance of the dead Fire Is the outcome of hypocrisy Darkest potency In the exit of humanity Color our world blackened  Blackened 
M;Bleeding Me;I'm diggin' my way I'm diggin' my way to something I'm diggin' my way to somethin' better  I'm pushin' to stay I'm pushin' to stay with something I'm pushin' to stay with something better  I'm sowing the seeds I'm sowing the seeds I've taken I'm sowing the seeds I take for granted  This thorn in my side This thorn in my side is from the tree This thorn in my side is from the tree I've planted  It tears me and I bleed And I bleed  Caught under wheel's roll I take the leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it Caught under wheel's roll The bleeding of me Of me The bleeding of me  Caught under wheel's roll I take the leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it Caught under wheel's roll The bleeding of me The bleeding of me  I am the beast that feeds the feast I am the blood, I am release Come make me pure Bleed me a cure I'm caught, I'm caught, I'm caught under  Caught under wheel's roll I take thay leech I'm bleeding me Can't stop to save my soul I take the leash that's leading me I'm bleeding me I can't take it, I can't take it, I can't take it The bleeding of me  Come on Bleed me  I'm digging my way I'm digging my way to something I'm digging my way to something better  I'm pushing to stay I'm pushing to stay with something I'm pushing to stay with something better  With something better 
M;Purify;Tear it down Strip the layers off My turpentine Old paint, old looks Cover up the past White heat, white light Super white bones Bones of you and I  Pure if I... can't you help me? Pure if I... won't you help me? Purify you and I Purify you and I Pure if I... can't you help me? Pure if I... won't you help me? Purify you and I Purify you and I  Truth and dare Peeling back the skin Acid wash Ghost white Ultra clean Wanna be skeleton Clear eyes Diamond eyes Strip the past of mine My sweet turpentine  I can find the dirt on anything I can find the dirt on anything  I ain't dancing with your skeletons I ain't dancing with what might have been 
N;Radio Friendly Unit Shifter;Hmm... I just wanna know ... do you like me?  Use just once and destroy Invasion of our piracy Afterbirth of a nation Starve without your skeleton key  I love you for what I am not I did not want what I have got A blanket acne'ed with cigarette burns Speak at once while taking turns  What is wrong with me What is wrong with me What is wrong with me  I'm gonna do with what you think If you ever think at all Bipolar opposites attract All of a sudden my water broke  I love you for what I am not I do not want what I have got A blanket acne'ed with cigarette burns Second-rate third degree burns  What is wrong with me? What is wrong with me? What do I think I think?  Hate, hate your enemies Save, save your friends Find, find your place Speak, speak the truth  What is wrong with me? What is wrong with me? What is wrong with me? What do I think I think?  Use just once and destroy Invasion of our piracy Afterbirth of a nation Starve without your skeleton key  What is wrong with me? What is wrong with me? What is wrong with me? What do I think I think? What is wrong with me? What is wrong with me? What is wrong with me? What do I think I think? 
N;Frances Farmer Will Have Her Revenge On Seattle;It's so relieving To know that you're leaving as soon as you get paid It's so relaxing To hear that you're asking wherever you get your way It's so soothing To know that you'll sue me, this is starting to sound the same  I miss the comfort in being sad [x3]  In her false witness, we hope you're still with us, To see if they float or drown Our favorite patient, a display of patience, Disease-covered Puget Sound She'll come back as fire, to burn all the liars, And leave a blanket of ash on the ground  I miss the comfort in being sad [x3]  It's so relieving To know that you're leaving as soon as you get paid It's so relaxing To know that you're asking wherever you get your way It's so soothing To know that you'll sue me, this is starting to sound the same  I miss the comfort in being sad [x3]
